utterance,category
wanna check what payment payment modalities are allowed,PAYMENT
i  missed some items in purchase 732201349959,ORDER
how can I buy some articles?,ORDER
where to see the payment methods,PAYMENT
i cant set up the bloody secondary shipping address,SHIPPING_ADDRESS
need assistance with a delivery address change,SHIPPING_ADDRESS
i dont know how i could check the termination charges,CANCELLATION_FEE
want assistance seeing the available payment options,PAYMENT
i have problems with cancelling oder 113542617735902,ORDER
problems submitting a new shipping address,SHIPPING_ADDRESS
can uhelp me request a refund of my money,REFUND
need assistance cancelling the bloody purchase I made,ORDER
i dont know how i can update my shipping address,SHIPPING_ADDRESS
where can i lodge a consumer reclamation against ur business,FEEDBACK
i want assistance requesting a bloody rebate of money,REFUND
can you give me information about the damn delivery methods?,DELIVERY
i do not know what i have to do to order a damn product,ORDER
i need assistance seeing what shipment options i can choose,DELIVERY
i dont know how i can submit feedback for a product,FEEDBACK
i dont know how to remove an item from purchas 00123842,ORDER
help reporting a damn poblem with online payment,PAYMENT
how to remove some articles from purchase 113542617735902,ORDER
i do not know how i cansee what delivery methods are there,DELIVERY
how could i see what shipment methods are available,DELIVERY
I need help solving an issue with online payments,PAYMENT
could you help me cancel the last purchqse I have made?,ORDER
want assistance to check your accepted payment optioins,PAYMENT
I'm trying to order afew of ur item,ORDER
assistance cancerling order 00123842,ORDER
need help entering the delivery address,SHIPPING_ADDRESS
iwant help seeing the withdrawal fee,CANCELLATION_FEE
I'm calling to see  how soon can i expect my order,DELIVERY
can ya help me switch something of order 00123842,ORDER
i want assistance trying to update the shipping address,SHIPPING_ADDRESS
I'd like to see if there is anything neew on my restitution,REFUND
I do not know how to buy severa of your article,ORDER
i need assistance sending my feedback about ur products,FEEDBACK
wanna earn some of ur item will uhelp me,ORDER
i need help to see what damn payment methods are available,PAYMENT
i do not know what to do to notify of an error with payment,PAYMENT
i have a question about canceling my goddamn order,ORDER
how do I see the fucking available payment modalities?,PAYMENT
how could i see the cancellation fee,CANCELLATION_FEE
I don't know how I could inform of a problem with payment,PAYMENT
there is an error trying to update my bloody shippingaddress,SHIPPING_ADDRESS
can ya show me order 370795561790 current status,ORDER
help me check what delivery options ya offer,DELIVERY
would it be possible to order several products,ORDER
I don't know what I need to do to buy some bloody articles,ORDER
wanna check what fucking delivery methods i have,DELIVERY
wanna see how long the goddamn refunds usually take,REFUND
can ya help me see the early exit charges,CANCELLATION_FEE
can uhelp me to get compensations,REFUND
need assistance checking what damn shipping options i have,DELIVERY
wanna knolw about the fucking shipping methods,DELIVERY
i paid $299 for this item assistance to obtain a refund,REFUND
i dont know what i need to do to check the withdrawal charge,CANCELLATION_FEE
what is the fucking charge for breaking the contract,CANCELLATION_FEE
need to earn a damn article will uhelp me,ORDER
i need help withcanceling purchase 00123842,ORDER
how can i see the eta of order 00004587345,ORDER
need to check the damn withdrawal  fee,CANCELLATION_FEE
I need assistance to see the damn earloy exit fees,CANCELLATION_FEE
where to see when will my package arrive?,DELIVERY
i dont know how i can see what delivery options are there,DELIVERY
could uhelp me to buy a bloody article,ORDER
there is a problem setting up a fucking new shipping address,SHIPPING_ADDRESS
help seeing in which cases can I request a refund,REFUND
"I can't pay, need help to report errors with payments",PAYMENT
help with swapping several items oforder 00004587345,ORDER
need help to check what damn delivery options you offer,DELIVERY
see in whazt situations can I ask for the bloody refunds,REFUND
how long does it usually take for a goddamn order to arrive?,DELIVERY
is there a way to leavd some feedback for a service,FEEDBACK
could uhelp me seeing order 00004587345 current status,ORDER
can i modify order 370795561790,ORDER
"I have  to check the early exit fees, how could I do it?",CANCELLATION_FEE
need assistance seeing how long the damn refunds take,REFUND
i have to cancel my order,ORDER
i want assistance checkig my order ETA,ORDER
where to check when will my purchase arrive,DELIVERY
could uhelp me checking ur fucking money back guarantee,REFUND
i aint happy with ur work help me filing a complaint,FEEDBACK
i need assistance to check whne will my package arrive,DELIVERY
I don't know how I acn edit my damn address,SHIPPING_ADDRESS
i want help to check the current status of the refund,REFUND
could uhelp me filing a damn claim against ur company,FEEDBACK
can ya tell me ur accepted payment methods,PAYMENT
i have got to see the withdrawal charge,CANCELLATION_FEE
i do not know how i could cancel the purchase i made,ORDER
i dont know how to report problems with online payments,PAYMENT
where can I see when will my package arrive ?,DELIVERY
i have to leave a damn review about ur company how to do it,FEEDBACK
I'm looking for information about an address change,SHIPPING_ADDRESS
can ya give me information about a bloody address change,SHIPPING_ADDRESS
i want ehlp to earn some items,ORDER
need to see ur goddamn allowed payment methods how to do it,PAYMENT
I do not know what to do to lodge a fucking consumer claim,FEEDBACK
i wsnt assistance leaving a fucking opinion for ur products,FEEDBACK
how  do i see the goddamn termination charge,CANCELLATION_FEE
i paid $299 for an item I'm trying to obtain a compensation,REFUND
I'd like to check the fucking accepted payment modalities,PAYMENT
need assistance purchasing a few of your article,ORDER
where do i see the damn eta of order 00004587345,ORDER
see in what cases can i request my money back,REFUND
i dont know how i could set a new shipping address up,SHIPPING_ADDRESS
want help asking for bloody rebates,REFUND
i have got to notify of a trouble with payment,PAYMENT
could uhelp me file a complaint against ur company,FEEDBACK
could you help me to set up my damn shipping address?,SHIPPING_ADDRESS
how to add several bloody items to purchase 370795561790,ORDER
i dont know how i can shop a bloody item,ORDER
I'd like to shop a damn product,ORDER
i have ot send my damn feedback for ur products,FEEDBACK
can i see ur refund policy,REFUND
i have got to check the early exit charge how to do it,CANCELLATION_FEE
i have to correct the goddamn delivery  address,SHIPPING_ADDRESS
I need to check what payment options are acepted,PAYMENT
i want assistance to see the bloody refund current status,REFUND
assistance to check the damn eta of purchase 00004587345,ORDER
can i check the compensation current status,REFUND
i want help to report troubles with payment,PAYMENT
I'm trying to cancel order 732201349959,ORDER
i paid $299 for this item could uhelp me obtain a refund,REFUND
can uhelp me to lodge a complaint,FEEDBACK
